;Company;Category;Keywords;;;;;
;Dial;Hygiene;Soap, Body Wash;;;;;
;Diosa;Fashion;Women's Fashion, Clothing;;;;;
;Dixi;Food & Beverage;Cookies, Snacks;;;;;
;Dogadan;Beverage;Tea, Herbal Tea;;;;;
;Dolmo's;Food;;;;;;
;Domino's;Food;Games;;;;;
;Dominos;Entertainment;Cleaning;;;;;
;Domestos;Household;Pizza;;;;;
;Domino's Pizza;Food;Luxury;;;;;
;donna karan;Fashion;Chips;;;;;
;doritos;Snacks;Skincare;;;;;
;Dove;Beauty;Shoes;;;;;
;dp JORDAN;Footwear;Ice Cream;;;;;
;DQ;Food;Drink;;;;;
;Dr Pepper;Beverage;Skincare;;;;;
;Dr.Jart+;Beauty;Diapers;;;;;
;DryNites;Baby Care;Technology;;;;;
;DSEM;Education;Coffee;;;;;
;Dunkin DONUTS;Food;Batteries;;;;;
;Duracell;Electronics;Cookies;;;;;
;Dunkaroos;Snacks;Style;;;;;
;Edom;Fashion;Public Relations;;;;;
;Edelman;Business;Learning;;;;;
;educhapo;Education;Toys;;;;;
;edushape;Education;Nutrition;;;;;
;eden;Food;Dining;;;;;
;Eddie V's;Restaurants;Medicine;;;;;
;Eli Lilly;Pharmaceuticals;Technology;;;;;
;Elbit Systems;Defense;Talent;;;;;
;Endeavor;Entertainment;Batteries;;;;;
;Energizer;Energy;Medicine;;;;;
;Eno;Pharmaceuticals;Games;;;;;
;Epic;Technology;Skincare;;;;;
;ESTEE LAUDER;Beauty;Nail Polish;;;;;
;Essie;Beauty;Hair Care;;;;;
;Essensity;Beauty;Coffee;;;;;
;Espresso House;Food;Style;;;;;
;eversince;Fashion;Water;;;;;
;evian;Beverage;Clothing;;;;;
;express;Fashion;Chewing Gum;;;;;
;Extra;Food;Medicine;;;;;
;Excedrin;Pharmaceuticals;Services;;;;;
;EY;Business;Drink;;;;;
;Fanta;Beverage;Milk;;;;;
;Fairlife;Beverage;Dairy;;;;;
;Fan Milk;Food;Skincare;;;;;
;Fa;Beauty;Social Media;;;;;
;Facebook;Technology;Health;;;;;
;Fenistil;Baby Care;Services;;;;;
;fiverr;Freelance;Entertainment;;;;;
;Fiver;Music;Food;;;;;
;FIDDMe;Technology;Dietary Fiber;;;;;
;Fibre Plex;Health;Snacks;;;;;
;Fiber One;Food;Dentures;;;;;
;Fixodent;Dental Care;Nutrition;;;;;
;Flora;Food;Clothing;;;;;
;flirt;Fashion;Allergies;;;;;
;Flonase;Health;Entertainment;;;;;
;FOX;Media;Business;;;;;
;Forbes;Media;Entertainment;;;;;
;Fox Corp;Media;Vehicles;;;;;
;Ford;Automotive;Organic;;;;;
;Forager Project;Food;Water;;;;;
;Font Vella;Beverage;Dairy;;;;;
;Fonterra;Food;Drink;;;;;
;Fruitopia;Beverage;Style;;;;;
;Frlng;Fashion;Chips;;;;;
;FritoLay;Snacks;Drink;;;;;
;Fresca;Beverage;Fruits;;;;;
;Fresh'n fruity;Food;Drink;;;;;
;FuzeTea;Beverage;Gadgets;;;;;
;Galaxy;Electronics;Vehicles;;;;;
;gadi;Automotive;Skincare;;;;;
;garnier;Beauty;Clothing;;;;;
;gap;Fashion;Style;;;;;
;Galay;Fashion;Technology;;;;;
;GE;Energy;Investments;;;;;
;General Catalyst;Business;Vehicles;;;;;
;General Motors;Automotive;Software;;;;;
;Genesys;Technology;Food;;;;;
;Gerber;Baby Care;Vehicles;;;;;
;General Motors Company;Automotive;Grooming;;;;;
;Gillette;Beauty;Luxury;;;;;
;giorgio armani;Fashion;Luxury;;;;;
;Giorgio Armani Beauty;Beauty;;;;;;
;Glade;Household;Air Freshener, Home Fragrance;;;;;
;GlamGlow;Beauty;Skincare, Face Mask;;;;;
;Glaceau VitaminWater;Beverage;Vitamin Water, Hydration;;;;;
;Glaceau Smart Water;Beverage;Smart Water, Hydration;;;;;
;Gliss hair repair;Beauty;Hair Repair, Shampoo;;;;;
;Globe Life Inc;Finance;Insurance, Financial Services;;;;;
;Goldman Sachs;Finance;Investment Banking, Financial Services;;;;;
;Google;Technology;Search Engine, Technology;;;;;
;goodskin labs;Beauty;Skincare, Beauty Products;;;;;
;Good American;Fashion;Apparel, Jeans;;;;;
;Goop;Lifestyle;Wellness, Lifestyle;;;;;
;Got2b;Beauty;Hair Styling, Styling Products;;;;;
;Grassroots;Advocacy;Community, Activism;;;;;
;Green Giant;Food and Beverage;Vegetables, Frozen Food;;;;;
;Green Finger;Gardening;Gardening, Outdoor;;;;;
;Haagen - Dazs;Food and Beverage;Ice Cream, Dessert;;;;;
;Haagen-Dazs;Food and Beverage;Ice Cream, Dessert;;;;;
;Hadiklaim;Agriculture;Dates, Agricultural Cooperative;;;;;
;Hakle;Household;Tissues, Paper Products;;;;;
;HALLS;Food and Beverage;Cough Drops, Confectionery;;;;;
;Halilit;Toys and Games;Musical Toys, Baby Toys;;;;;
;Hardees;Food and Beverage;Fast Food, Burgers;;;;;
;Harmless Harvest;Beverage;Coconut Water, Organic;;;;;
;Harrogat Spring Water;Beverage;Spring Water, Bottled Water;;;;;
;HAYAT;Beverage;Bottled Water, Mineral Water;;;;;
;Hewlett Packard;Technology;Computers, Printers;;;;;
;Hewlett Packard Enterprise;Technology;Enterprise Solutions, Technology;;;;;
;HellMann's;Food and Beverage;Mayonnaise, Condiments;;;;;
;Henkel;Consumer Goods;Adhesives, Beauty Care;;;;;
;Hilton;Hospitality;Hotels, Accommodation;;;;;
;Hidra Color;Beauty;Hair Color, Hair Dye;;;;;
;Hollywood;Entertainment;Film, Movies;;;;;
;Honest;Beverage;Tea, Organic;;;;;
;Horizon Organic;Food and Beverage;Organic Milk, Dairy;;;;;
;Holding Inc.;Finance;Investment Holding, Financial Services;;;;;
;Honest Tea;Beverage;Tea, Honest;;;;;
;HP;Technology;Computers, Technology;;;;;
;Hrispy Hreme Doughnuts;Food and Beverage;Doughnuts, Dessert;;;;;
;Huge boss;Fashion;Apparel, Clothing;;;;;
;Huntsman Corp;Chemicals;Chemicals, Manufacturing;;;;;
;Huggies;Baby Care;Diapers, Baby Products;;;;;
;Hulu;Entertainment;Streaming, TV Shows;;;;;
;Hubba Bubba;Food and Beverage;Chewing Gum, Confectionery;;;;;
;IBM;Technology;Computers, Technology;;;;;
;Iba;Beauty;Halal Cosmetics, Beauty Products;;;;;
;icq;Technology;Messaging, Communication;;;;;
;Igora Royal;Beauty;Hair Color, Professional Haircare;;;;;
;Insight Partners;Finance;Venture Capital, Investment;;;;;
;Intel;Technology;Processors, Technology;;;;;
;Intuit;Finance;Accounting, Financial Software;;;;;
;Interstar;Toys and Games;Building Blocks, Construction Toys;;;;;
;Innocent;Beverage;Smoothies, Fruit Drinks;;;;;
;Indola;Beauty;Haircare, Styling;;;;;
;Instagram;Technology;Social Media, Photography;;;;;
;iPod;Technology;Music, Portable Media Player;;;;;
;Israeli fruit;Food and Beverage;Fruits, Agriculture;;;;;
;iT Cosmetics;Beauty;Makeup, Cosmetics;;;;;
;Itochu Corporation;Conglomerate;Trading, Conglomerate;;;;;
;IVORY;Beauty;Soap, Personal Care;;;;;
;Jaffa;Food and Beverage;Citrus, Juice;;;;;
;Jardin;Home and Garden;Outdoor Living, Gardening;;;;;
;Jacobs;Food and Beverage;Coffee, Beverages;;;;;
;JDE Peets;Food and Beverage;Coffee, Tea;;;;;
;Jefferies;Finance;Investment Banking, Financial Services;;;;;
;Johnson & Johnson;Health;Healthcare, Consumer Goods;;;;;
;Johnsons and Johnsons;Health;Healthcare, Consumer Goods;;;;;
;Johnson Johnson;Health;Healthcare, Consumer Goods;;;;;
;Johnson and Johnson;Health;Healthcare, Consumer Goods;;;;;
;Jordan river;Beverages;Beverages, Bottled Water;;;;;
;Jordan plains;Agriculture;Agriculture, Farming;;;;;
;Joy + Glee;Apparel;Apparel, Clothing;;;;;
;JPMorgan;Finance;Banking, Finance;;;;;
;JPMorgan Chase &Co.;Finance;Banking, Finance;;;;;
;Jus-Rol;Food and Beverage;Pastry, Baking;;;;;
;Just;Apparel;Sustainable Fashion, Clothing;;;;;
;Karsten farms / kalahari &bomaja;Agriculture;Farming, Agriculture;;;;;
;KARSTEN Jarms;Agriculture;Agriculture, Farming;;;;;
;Kapiti A Newzealand Original;Food and Beverage;Ice Cream, Dairy;;;;;
;Kenon Holdings;Energy;Energy, Holding Company;;;;;
;Keter;Home and Garden;Outdoor Furniture, Storage;;;;;
;Kerastase;Beauty;Haircare, Professional Haircare;;;;;
;Kent;Beauty;Combs, Haircare;;;;;
;Kerastase Paris;Beauty;Haircare, Luxury;;;;;
;Kenra Professional;Beauty;Haircare, Styling;;;;;
;Keurig Dr Pepper;Food and Beverage;Beverages, Coffee;;;;;
;KFC;Food and Beverage;Fast Food, Chicken;;;;;
;Kia Ora;Beverage;Juice, New Zealand;;;;;
;Kiehl's;Beauty;Skincare;;;;;
;Kilian Paris;Fragrance;Perfume;;;;;
;Kimberly-Clark;Consumer Goods;Hygiene               |;;;;;
;King Solomon;Jewelry;Gemstone;;;;;
;Kind;Food;Snacks;;;;;
;Kit Kat;Food;Chocolate;;;;;
;Kiton;Fashion;Italian Clothing;;;;;
;KIWI;Footwear;Shoe Care;;;;;
;Kix;Food;Cereal;;;;;
;Kleenex;Consumer Goods;Tissues;;;;;
;KleenGuard;Industrial;Safety Equipment;;;;;
;Knorr;Food;Seasoning;;;;;
;Komili;Beauty;Skincare;;;;;
;Kotex;Feminine Care;Sanitary Products;;;;;
;Kodak;Photography;Camera;;;;;
;KPMG;Business;Consulting;;;;;
;Kraft Heinz;Food;Condiments;;;;;
;Kroger Co;Retail;Grocery;;;;;
;Kuul Color System;Hair Care;Hair Color;;;;;
;Kylie Cosmetics;Beauty;Makeup;;;;;
;Kylieskin;Skincare;Skincare;;;;;
;Lab Series;Beauty;Men's Skincare;;;;;
;Lamisil;Health;Antifungal Medication;;;;;
;Lancome;Beauty;Cosmetics;;;;;
;Larabar;Food;Snack Bars;;;;;
;LaToja;Beauty;Skincare;;;;;
;Latina Fresh;Food;Fresh Food;;;;;
;Lavs;Fashion;Apparel;;;;;
;Lay's;Food;Potato Chips;;;;;
;Levi Strauss;Fashion;Denim;;;;;
;Lego;Toys;Building Blocks;;;;;
;Le Labo Grasse New York;Fragrance;Perfume;;;;;
;Le Chat;Household;Laundry Detergent;;;;;
;Legendary Restaurant Brands;Food and Beverage;Restaurant, Brand;;;;;
;Liberty Global PLC Class C;Telecommunications;Liberty Global, Telecommunications;;;;;
;Liberty Latin;Telecommunications;Liberty Latin, Telecommunications;;;;;
;Libert�;Food and Beverage;Yogurt, Libert�;;;;;
;Licor Polo;Beverage;Licor Polo, Drink;;;;;
;Life Body;Beauty;Life Body, Beauty;;;;;
;Lifebuoy;Beauty;Lifebuoy, Personal Care;;;;;
;Lilt kia ora;Beverage;Lilt kia ora, Drink;;;;;
;Lilt;Beverage;Lilt, Drink;;;;;
;LinkedIn;Social Media;LinkedIn, Networking;;;;;
;Lion;Food and Beverage;Lion, Chocolate;;;;;
;Lipton;Beverage;Lipton, Tea;;;;;
;Lipski;Apparel;Lipski, Fashion;;;;;
;Loreal;Beauty;Loreal, Cosmetics;;;;;
;Love Beauty and Planet;Beauty;Love Beauty, Planet, Beauty;;;;;
;Longhorn;Food and Beverage;Longhorn, Steak;;;;;
;Lux;Beauty;Lux, Soap;;;;;
;Luvs;Baby Care;Luvs, Diapers;;;;;
;Lucky Charms;Food and Beverage;Lucky Charms, Cereal;;;;;
;Lysoform;Household;Lysoform, Disinfectant;;;;;
;MAC;Beauty;MAC, Cosmetics;;;;;
;Macdonald;Food and Beverage;Macdonald, Fast Food;;;;;
;McDonald's;Food and Beverage;McDonald's, Fast Food;;;;;
;Mad About;Apparel;Mad About, Fashion;;;;;
;Maggi;Food and Beverage;Maggi, Seasoning;;;;;
;Maggie;Food and Beverage;Maggie, Food;;;;;
;Magnum;Food and Beverage;Magnum, Ice Cream;;;;;
;Magno;Beauty;Magno, Cologne;;;;;
;Maison Margiela;Fashion;Maison Margiela, Luxury;;;;;
;Mainland Good Things;Food and Beverage;Mainland, Cheese;;;;;
;Maltesers;Food and Beverage;Maltesers, Chocolate;;;;;
;Mammoth Supply Co;Apparel;Mammoth, Fashion;;;;;
;Mars;Food and Beverage;Mars, Chocolate;;;;;
;Marlboro;Tobacco;Marlboro, Cigarettes;;;;;
;Marks & Spencer;Retail;Marks & Spencer, Retail;;;;;
;Mars Incorporated;Food and Beverage;Mars Incorporated, Food;;;;;
;Martix;Technology;Martix, Software;;;;;
;Mastercard;Finance;Mastercard, Credit Card;;;;;
;Mattel;Toys and Games;Mattel, Toys;;;;;
;Matrix;Beauty;Matrix, Hair Care;;;;;
;Maxfactor;Beauty;Maxfactor, Cosmetics;;;;;
;Maybelline;Beauty;Maybelline, Cosmetics;;;;;
;Maybelline New York;Beauty;Maybelline New York, Cosmetics;;;;;
;Mayo;Food and Beverage;Mayo, Condiment;;;;;
;Mcdonalds;Food and Beverage;Mcdonalds, Fast Food;;;;;
;McDonald's;Food and Beverage;McDonald's, Fast Food;;;;;
;Monday.com;Technology;Monday.com, Project Management;;;;;
;Mont Stmichel;Travel;Mont Stmichel, Tourism;;;;;
;Mondelez International;Food and Beverage;Mondelez International, Food;;;;;
;Mondelz International;Food and Beverage;Mondelz International, Food;;;;;
;Monster Cereals;Food and Beverage;Monster Cereals, Cereal;;;;;
;Moody's;Finance;Moody's, Credit Ratings;;;;;
;Morgan Lewis;Law;Morgan Lewis, Law Firm;;;;;
;Morgan Stanley;Finance;Morgan Stanley, Investment Bank;;;;;
;Motorola;Technology;Motorola, Electronics;;;;;
;Mr. Clean Magic Eraser;Household;Mr. Clean, Cleaning;;;;;
;MUJDE;Apparel;MUJDE, Fashion;;;;;
;Mugler;Fashion;Mugler, Perfume;;;;;
;Muir Glen;Food and Beverage;Muir Glen, Tomatoes;;;;;
;My6Sense;Technology;My6Sense, Advertising;;;;;
;My dentity;Beauty;My dentity, Hair Care;;;;;
;NAE;Fashion;NAE, Sustainable Fashion;;;;;
;Natasha Denona;Beauty;Natasha Denona, Cosmetics;;;;;
;National Geographic;Media;National Geographic, Magazine;;;;;
;Natural Beauty Care;Beauty;Natural Beauty Care, Cosmetics;;;;;
;Natural Beauty Care;Beauty;Natural Beauty Care, Cosmetics;;;;;
;Nature Box;Food and Beverage;Nature Box, Snacks;;;;;
;Naturelle;Beauty;Naturelle, Hair Care;;;;;
;Nature Valley;Food and Beverage;Nature Valley, Granola Bars;;;;;
;Nectra Color;Beauty;Nectra Color, Hair Color;;;;;
;Nescafe;Beverage;Nescafe, Coffee;;;;;
;Nescafe Original;Beverage;Nescafe Original, Coffee;;;;;
;Nesfit;Food and Beverage;Nesfit, Cereal;;;;;
;Nespresso;Beverage;Nespresso, Coffee;;;;;
;Nesquik;Food and Beverage;Nesquik, Chocolate;;;;;
;Nestle;Food and Beverage;Nestle, Food;;;;;
;Nestea;Beverage;Nestea, Iced Tea;;;;;
;Nestle Coffee mate;Food and Beverage;Coffee mate, Creamer;;;;;
;Nestle Nesquik;Food and Beverage;Nesquik, Chocolate;;;;;
;Nestle Nido;Food and Beverage;Nido, Milk Powder;;;;;
;Netflix;Entertainment;Netflix, Streaming;;;;;
;Neutro Med;Health;Neutro Med, healthcare;;;;;
;Neve;Beauty;Neve, skincare;;;;;
;news world;Media;news world, news;;;;;
;Nivea;Beauty;Nivea, skincare;;;;;
;Nike;Fashion;Nike, sportswear;;;;;
;nick;Media;nick, entertainment;;;;;
;Nido;Food and Beverage;Nido, dairy;;;;;
;nicorette;Health;nicorette, quit smoking;;;;;
;Nicotinell;Health;Nicotinell, quit smoking;;;;;
;Nokia;Technology;Nokia, smartphones;;;;;
;Novelle;Beauty;Novelle, cosmetics;;;;;
;Nordic Blonde;Beauty;Nordic Blonde, hair color;;;;;
;Numil;Food and Beverage;Numil, infant formula;;;;;
;Nvidia;Technology;Nvidia, graphics cards;;;;;
;NYX;Beauty;NYX, cosmetics;;;;;
;Oikos;Food and Beverage;Oikos, yogurt;;;;;
;Oil Untime;Beauty;Oil Untime, skincare;;;;;
;ojon;Beauty;ojon, hair care;;;;;
;Olay;Beauty;Olay, skincare;;;;;
;Olly;Health;Olly, supplements;;;;;
;Olive Garden;Food and Beverage;Olive Garden, restaurant;;;;;
;Old El Paso;Food and Beverage;Old El Paso, Mexican food;;;;;
;Old Spice;Beauty;Old Spice, grooming;;;;;
;omo;Household;omo, laundry detergent;;;;;
;Only Love;Fashion;Only Love, apparel;;;;;
;Oral-B;Health;Oral-B, oral care;;;;;
;Oracle;Technology;Oracle, software;;;;;
;oricins;Beauty;oricins, skincare;;;;;
;oral-b;Health;oral-b, oral care;;;;;
;orkid;Beauty;orkid, skincare;;;;;
;Orbit;Food and Beverage;Orbit, gum;;;;;
;OSEM;Food and Beverage;OSEM, food brand;;;;;
;Osis+;Beauty;Osis+, hair styling;;;;;
;Otrivin;Health;Otrivin, nasal spray;;;;;
;outstanding;Other;outstanding, excellence;;;;;
;Oul Ultime;Beauty;Oul Ultime, hair care;;;;;
;Oui;Food and Beverage;Oui, yogurt;;;;;
;Page;Media;Page, news;;;;;
;palmolive;Household;palmolive, cleaning;;;;;
;Palette;Beauty;Palette, cosmetics;;;;;
;Pampers;Family;Pampers, diapers;;;;;
;Pantene;Beauty;Pantene, hair care;;;;;
;Panadol;Health;Panadol, pain relief;;;;;
